item_id;category_noun
200151;коробка
200222;крем-баттер
200521;скраб
200282;масло
200136;консилер
200427;помада
200206;крем
200410;пенка
200629;крем-гель
200547;скраб
200490;скраб
200570;соль
200246;лосьон
200076;гель
200589;сумка-шоппер
200232;крем-суфле
200391;пакет
200423;помада
200114;карандаш
200656;щетка
200466;сс-крем
200051;бальзам
200241;лосьон
200485;скраб
200530;скраб
200221;крем-баттер
200217;крем
200650;шампунь
200087;гель
200353;обертывание
200178;коробка
200220;крем-баттер
200302;молочная
200064;маска
200186;коробка
200614;тени-карандаш
200098;подводка
200112;карандаш
200465;сс-крем
200067;гель
200525;скраб
200013;антицеллюлитная
200366;обертывание-гель
200385;спрей
200144;коробка
200266;маска-сорбет
200092;гель-пена
200049;бальзам
200226;крем-корсет
200529;скраб
200267;масло
200483;скраб
200257;маска
200008;соль
200317;обертывание
200497;скраб
200259;маска
200166;коробка
200630;тонер
200478;скраб
200651;штаны
200311;пенка
200230;крем-мусс
200018;криомасло
200272;масло
200386;молочко
200234;сыворотка
200567;соль
200400;пена
200642;шампунь
200566;соль
200253;маска
200309;набор
200418;маска
200372;лосьон
200104;карандаш
200243;лосьон
200659;щетка
200138;консилер
200594;сыворотка
200571;соль
200631;тушь
200373;лосьон
200034;флюид
200609;сыворотка-баланс
200111;карандаш
200113;карандаш
200606;сыворотка
200420;плампер
200123;румяна
200613;мусс
200291;масло
200559;скраб
200551;скраб
200511;скраб
200346;обертывание
200378;маска
200421;плампер
200189;крем
200164;коробка
200192;крем
200574;спрей
200599;сыворотка
200200;крем
200314;гоммаж
200063;шампунь
200183;коробка
200245;лосьон
200070;гель
200078;гель
200312;масло
200618;маска
200025;средство
200129;кондиционер
200154;коробка
200062;кондиционер
200276;флюид
200058;маска
200185;коробка
200640;шампунь
200128;кондиционер
200318;обертывание
200641;шампунь
200343;обертывание
200569;соль
200026;пена
200301;молочко
200628;маска
200278;массажер
200381;гель
200074;гель
200306;набор
200130;кондиционер
200009;соль
200598;сыворотка
200572;спрей
200627;маска
200619;патчи
200643;шампунь
200645;шампунь
200168;коробка
200012;антицеллюлитная
200158;коробка
200159;коробка
200578;спрей
200290;масло
200210;крем
200431;помада
200402;пенка
200620;тоник
200107;карандаш
200666;эмульсия
200308;набор
200399;палетка
200396;палетка
200597;сыворотка
200345;обертывание
200514;скраб
200605;сыворотка
200668;эмульсия
200090;гель
200377;спрей
200300;мицелярная
200435;пудра
200522;скраб
200506;скраб
200486;скраб
200163;коробка
200655;щетка
200487;скраб
200071;гель
200543;скраб
200601;сыворотка
200336;обертывание
200467;сс-крем
200016;антицеллюлитная
200608;сыворотка-активатор
200094;маска
200394;палетка
200633;хайлайтер-стик
200419;плампер
200238;набор
200361;обертывание
200370;пилинг-диски
200286;флюид
200563;лосьон
200196;крем
200197;крем
200024;масло
200615;тени-карандаш
200095;маска
200124;румяна
200632;хайлайтер-стик
200097;лосьон
200273;масло
200115;карандаш
200334;обертывание
200105;карандаш
200239;лосьон
200426;помада
200585;спрей
200106;карандаш
200430;помада
200433;помада
200439;расческа
200584;спрей
200244;лосьон
200513;скраб
200169;коробка
200568;соль
200270;масло
200438;гель
200347;обертывание
200564;лосьон
200303;мочалка
200242;лосьон
200332;обертывание
200116;карандаш
200660;щетка
200193;крем
200275;масло-хайлайтер
200305;набор
200307;набор
200195;крем
200395;палетка
200218;крем
200355;обертывание
200236;криолосьон
200247;лосьон
200170;коробка
200028;вв
200030;контрол
200027;благомакс
200029;дермаклиникколлаген
200110;карандаш
200429;помада
200296;скраб
200623;тоник
200046;бальзам
200408;пенка
200626;тоник
200591;сыворотка
200099;крем
200582;спрей
200482;скраб
200350;обертывание
200208;крем
200610;сыворотка-сияние
200252;маска
200059;масло
200043;бальзам
200177;коробка
200263;маска-лифтинг
200133;кондиционер
200044;бальзам
200535;скраб
200268;масло
200017;криомасло
200084;гель
200176;коробка
200150;коробка
200588;сумка-шоппер
200173;коробка
200174;коробка
200412;пенка-баланс
200260;маска
200528;скраб
200502;скраб
200492;скраб
200227;крем-масло
200065;гель
200080;гель
200055;бронзатор
200404;пенка
200088;гель
200149;коробка
200555;скраб
200203;крем
200494;скраб
200207;крем
200281;щетка
200495;скраб
200664;щетка
200000;cc-крем
200083;гель
200004;cc-крем
200648;шампунь
200215;крем
200121;румяна
200122;румяна
200048;бальзам
200050;бальзам
200484;скраб
200258;маска
200323;обертывание
200171;коробка
200228;крем-масло
200002;cc-крем
200057;шар
200162;коробка
200520;скраб
200424;помада
200358;обертывание
200519;скраб
200161;коробка
200184;коробка
200458;саше
200454;саше
200460;саше
200456;саше
200442;саше
200416;пенка-баланс
200175;коробка
200148;коробка
200517;скраб
200518;скраб
200235;криолосьон
200498;скраб
200440;саше
200452;саше
200509;скраб
200109;карандаш
200117;карандаш
200093;гель-пена
200565;соль
200500;скраб
200219;крем-баттер
200240;лосьон
200156;коробка
200179;коробка
200103;карандаш
200499;скраб
200539;скраб
200160;коробка
200073;гель
200069;гель
200319;обертывание
200310;набор
200118;карандаш
200056;гейзер
200428;помада
200432;помада
200647;шампунь
200214;крем
200635;хайлайтер-стик
200119;карандаш
200434;помада
200586;спрей
200108;карандаш
200007;альгинатная
200006;альгинатная
200089;гель
200389;пакет
200388;пакет
200545;скраб
200469;скраб
200337;обертывание
200533;скраб
200045;бальзам
200211;крем
200579;спрей
200181;коробка
200624;тоник
200054;бронзатор
200294;скраб
200077;гель
200558;скраб
200481;скраб
200143;коробка
200368;обертывание-гель
200384;спрей
200322;обертывание
200333;обертывание
200325;обертывание
200191;крем
200134;кондиционер
200316;обертывание
200450;саше
200251;маска
200406;пенка
200329;обертывание
200180;коробка
200446;саше
200602;сыворотка
200468;скраб
200036;бальзам
200611;сыворотка-сияние
200449;саше
200040;бальзам
200023;масло
200581;спрей
200557;скраб
200451;саше
200101;крем
200654;щетка
200198;крем
200477;скраб
200254;маска
200283;масло
200405;пенка
200182;коробка
200155;коробка
200621;тоник
200646;шампунь
200414;пенка-баланс
200447;саше
200573;спрей
200658;щетка
200593;сыворотка
200413;пенка-баланс
200448;саше
200493;скраб
200380;гель
200280;массажер
200066;гель
200501;скраб
200437;гель
200223;крем-корсет
200274;масло-хайлайтер
200665;эмульсия
200086;гель
200526;скраб
200510;скраб
200352;обертывание
200360;обертывание
200165;коробка
200157;коробка
200187;коробка
200507;скраб
200172;коробка
200652;щетка
200194;крем
200503;скраб
200663;щетка
200356;обертывание
200662;щетка
200480;скраб
200135;консилер
200463;сс-крем
200125;румяна
200617;тени-карандаш
200616;тени-карандаш
200464;сс-крем
200229;крем-мусс
200082;гель
200271;масло
200126;румяна
200397;палетка
200637;хайлайтер-стик
200167;коробка
200462;сс-крем
200671;крем
200675;шампунь
200649;шампунь
200216;крем
200299;мицеллярная
200436;пудра
200550;скраб
200398;палетка
200387;крем
200001;cc-крем
200137;консилер
200005;cc-крем
200425;помада
200390;пакет
200033;к
200561;скраб
200445;саше
200393;пакеты
200553;скраб
200392;пакеты
200131;кондиционер
200669;бальзам
200330;обертывание
200587;сумка-шопер
200441;саше
200250;маска
200401;пенка
200141;коробка
200532;скраб
200546;скраб
200326;обертывание
200295;скраб
200369;обертывание-гель
200537;скраб
200335;обертывание
200474;скраб
200042;бальзам
200015;антицеллюлитная
200657;щетка
200039;бальзам
200021;масло
200444;саше
200188;крем
200102;крем
200233;крем-суфле
200284;масло
200321;обертывание
200019;криомасло
200142;коробка
200376;спрей
200371;лосьон
200409;пенка
200592;сыворотка
200209;крем
200542;скраб
200411;пенка-баланс
200583;спрей
200531;скраб
200453;саше
200085;гель
200011;соль
200213;крем
200505;скраб
200562;скраб
200224;крем-корсет
200403;пенка
200152;коробка
200554;скраб
200315;обертывание
200153;коробка
200091;гель
200351;обертывание
200512;скраб
200476;скраб
200667;эмульсия
200508;скраб
200003;cc-крем
200047;бальзам
200524;скраб
200201;крем
200341;обертывание
200204;крем
200670;коробка
200139;коробка
200515;скраб
200277;массадер
200653;щетка
200237;криолосьон
200475;скраб
200349;обертывание
200634;хайлайтер-стик
200523;скраб
200541;скраб
200560;скраб
200489;скраб
200293;скраб
200052;бальзам
200061;масло
200644;шампунь
200576;спрей
200534;скраб
200320;обертывание
200212;крем
200367;обертывание-гель
200146;коробка
200038;бальзам
200231;крем-суфле
200549;скраб
200331;обертывание
200327;обертывание
200190;крем
200552;скраб
200580;спрей
200544;скраб
200375;спрей
200590;сумка-шоппер
200338;обертывание
200145;коробка
200297;мицеллярная
200479;скраб
200020;криомасло
200638;холодное
200096;горячее
200140;коробка
200344;обертывание
200374;лосьон
200383;спрей
200132;кондиционер
200324;обертывание
200256;маска
200342;обертывание
200010;соль
200504;скраб
200262;маска
200079;гель
200674;скульптор
200269;масло
200417;пенка-баланс
200596;сыворотка
200225;крем-корсет
200556;скраб
200488;скраб
200357;обертывание
200491;скраб
200205;крем
200199;крем
200031;турамин
200516;скраб
200538;скраб
200264;маска-лифтинг
200625;тоник
200407;пенка
200415;пенка-баланс
200471;скраб
200014;антицеллюлитная
200362;гель
200548;скраб
200328;обертывание
200037;бальзам
200461;саше
200457;саше
200455;саше
200081;гель
200363;обертывание-гель
200577;спрей
200035;бальзам
200575;спрей
200536;скраб
200292;скраб
200100;крем
200348;обертывание
200072;гель
200473;скраб
200060;масло
200287;флюид
200470;скраб
200661;щетка
200022;масло
200365;обертывание-гель
200041;бальзам
200612;сыворотка-сияние
200127;кондиционер
200639;шампунь
200607;сыворотка
200472;скраб
200261;маска
200622;тоник
200298;мицеллярная
200255;маска
200459;саше
200382;спрей
200364;обертывание-гель
200249;маска
200053;бронзатор
200285;масло
200603;сыворотка
200120;спрей
200147;коробка
200527;скраб
200354;обертывание
200359;обертывание
200032;к
200540;скраб
200248;лосьон-усилитель
200288;помада
200289;помада
200340;обертывание
200604;сыворотка
200075;гель
200202;крем
200673;скраб
200339;обертывание
200313;гоммаж
200265;маска-сорбет
200600;сыворотка
200672;масло
200636;хайлайтер-стик
200379;гель
200496;скраб
200443;саше
200304;мусс
